instant,dteday,mnth,cnt
1,1/1/2011,1,985
2,1/2/2011,1,801
3,1/3/2011,1,1349
4,1/4/2011,1,1562
5,1/5/2011,1,1600
6,1/6/2011,1,1606
7,1/7/2011,1,1510
8,1/8/2011,1,959
9,1/9/2011,1,822
10,1/10/2011,1,1321
11,1/11/2011,1,1263
12,1/12/2011,1,1162
13,1/13/2011,1,1406
14,1/14/2011,1,1421
15,1/15/2011,1,1248
16,1/16/2011,1,1204
17,1/17/2011,1,1000
18,1/18/2011,1,683
19,1/19/2011,1,1650
20,1/20/2011,1,1927
21,1/21/2011,1,1543
22,1/22/2011,1,981
23,1/23/2011,1,986
24,1/24/2011,1,1416
25,1/25/2011,1,1985
26,1/26/2011,1,506
27,1/27/2011,1,431
28,1/28/2011,1,1167
29,1/29/2011,1,1098
30,1/30/2011,1,1096
31,1/31/2011,1,1501
32,2/1/2011,2,1360
33,2/2/2011,2,1526
34,2/3/2011,2,1550
35,2/4/2011,2,1708
36,2/5/2011,2,1005
37,2/6/2011,2,1623
38,2/7/2011,2,1712
39,2/8/2011,2,1530
40,2/9/2011,2,1605
41,2/10/2011,2,1538
42,2/11/2011,2,1746
43,2/12/2011,2,1472
44,2/13/2011,2,1589
45,2/14/2011,2,1913
46,2/15/2011,2,1815
47,2/16/2011,2,2115
48,2/17/2011,2,2475
49,2/18/2011,2,2927
50,2/19/2011,2,1635
51,2/20/2011,2,1812
52,2/21/2011,2,1107
53,2/22/2011,2,1450
54,2/23/2011,2,1917
55,2/24/2011,2,1807
56,2/25/2011,2,1461
57,2/26/2011,2,1969
58,2/27/2011,2,2402
59,2/28/2011,2,1446
60,3/1/2011,3,1851
61,3/2/2011,3,2134
62,3/3/2011,3,1685
63,3/4/2011,3,1944
64,3/5/2011,3,2077
65,3/6/2011,3,605
66,3/7/2011,3,1872
67,3/8/2011,3,2133
68,3/9/2011,3,1891
69,3/10/2011,3,623
70,3/11/2011,3,1977
71,3/12/2011,3,2132
72,3/13/2011,3,2417
73,3/14/2011,3,2046
74,3/15/2011,3,2056
75,3/16/2011,3,2192
76,3/17/2011,3,2744
77,3/18/2011,3,3239
78,3/19/2011,3,3117
79,3/20/2011,3,2471
80,3/21/2011,3,2077
81,3/22/2011,3,2703
82,3/23/2011,3,2121
83,3/24/2011,3,1865
84,3/25/2011,3,2210
85,3/26/2011,3,2496
86,3/27/2011,3,1693
87,3/28/2011,3,2028
88,3/29/2011,3,2425
89,3/30/2011,3,1536
90,3/31/2011,3,1685
91,4/1/2011,4,2227
92,4/2/2011,4,2252
93,4/3/2011,4,3249
94,4/4/2011,4,3115
95,4/5/2011,4,1795
96,4/6/2011,4,2808
97,4/7/2011,4,3141
98,4/8/2011,4,1471
99,4/9/2011,4,2455
100,4/10/2011,4,2895
101,4/11/2011,4,3348
102,4/12/2011,4,2034
103,4/13/2011,4,2162
104,4/14/2011,4,3267
105,4/15/2011,4,3126
106,4/16/2011,4,795
107,4/17/2011,4,3744
108,4/18/2011,4,3429
109,4/19/2011,4,3204
110,4/20/2011,4,3944
111,4/21/2011,4,4189
112,4/22/2011,4,1683
113,4/23/2011,4,4036
114,4/24/2011,4,4191
115,4/25/2011,4,4073
116,4/26/2011,4,4400
117,4/27/2011,4,3872
118,4/28/2011,4,4058
119,4/29/2011,4,4595
120,4/30/2011,4,5312
121,5/1/2011,5,3351
122,5/2/2011,5,4401
123,5/3/2011,5,4451
124,5/4/2011,5,2633
125,5/5/2011,5,4433
126,5/6/2011,5,4608
127,5/7/2011,5,4714
128,5/8/2011,5,4333
129,5/9/2011,5,4362
130,5/10/2011,5,4803
131,5/11/2011,5,4182
132,5/12/2011,5,4864
133,5/13/2011,5,4105
134,5/14/2011,5,3409
135,5/15/2011,5,4553
136,5/16/2011,5,3958
137,5/17/2011,5,4123
138,5/18/2011,5,3855
139,5/19/2011,5,4575
140,5/20/2011,5,4917
141,5/21/2011,5,5805
142,5/22/2011,5,4660
143,5/23/2011,5,4274
144,5/24/2011,5,4492
145,5/25/2011,5,4978
146,5/26/2011,5,4677
147,5/27/2011,5,4679
148,5/28/2011,5,4758
149,5/29/2011,5,4788
150,5/30/2011,5,4098
151,5/31/2011,5,3982
152,6/1/2011,6,3974
153,6/2/2011,6,4968
154,6/3/2011,6,5312
155,6/4/2011,6,5342
156,6/5/2011,6,4906
157,6/6/2011,6,4548
158,6/7/2011,6,4833
159,6/8/2011,6,4401
160,6/9/2011,6,3915
161,6/10/2011,6,4586
162,6/11/2011,6,4966
163,6/12/2011,6,4460
164,6/13/2011,6,5020
165,6/14/2011,6,4891
166,6/15/2011,6,5180
167,6/16/2011,6,3767
168,6/17/2011,6,4844
169,6/18/2011,6,5119
170,6/19/2011,6,4744
171,6/20/2011,6,4010
172,6/21/2011,6,4835
173,6/22/2011,6,4507
174,6/23/2011,6,4790
175,6/24/2011,6,4991
176,6/25/2011,6,5202
177,6/26/2011,6,5305
178,6/27/2011,6,4708
179,6/28/2011,6,4648
180,6/29/2011,6,5225
181,6/30/2011,6,5515
182,7/1/2011,7,5362
183,7/2/2011,7,5119
184,7/3/2011,7,4649
185,7/4/2011,7,6043
186,7/5/2011,7,4665
187,7/6/2011,7,4629
188,7/7/2011,7,4592
189,7/8/2011,7,4040
190,7/9/2011,7,5336
191,7/10/2011,7,4881
192,7/11/2011,7,4086
193,7/12/2011,7,4258
194,7/13/2011,7,4342
195,7/14/2011,7,5084
196,7/15/2011,7,5538
197,7/16/2011,7,5923
198,7/17/2011,7,5302
199,7/18/2011,7,4458
200,7/19/2011,7,4541
201,7/20/2011,7,4332
202,7/21/2011,7,3784
203,7/22/2011,7,3387
204,7/23/2011,7,3285
205,7/24/2011,7,3606
206,7/25/2011,7,3840
207,7/26/2011,7,4590
208,7/27/2011,7,4656
209,7/28/2011,7,4390
210,7/29/2011,7,3846
211,7/30/2011,7,4475
212,7/31/2011,7,4302
213,8/1/2011,8,4266
214,8/2/2011,8,4845
215,8/3/2011,8,3574
216,8/4/2011,8,4576
217,8/5/2011,8,4866
218,8/6/2011,8,4294
219,8/7/2011,8,3785
220,8/8/2011,8,4326
221,8/9/2011,8,4602
222,8/10/2011,8,4780
223,8/11/2011,8,4792
224,8/12/2011,8,4905
225,8/13/2011,8,4150
226,8/14/2011,8,3820
227,8/15/2011,8,4338
228,8/16/2011,8,4725
229,8/17/2011,8,4694
230,8/18/2011,8,3805
231,8/19/2011,8,4153
232,8/20/2011,8,5191
233,8/21/2011,8,3873
234,8/22/2011,8,4758
235,8/23/2011,8,5895
236,8/24/2011,8,5130
237,8/25/2011,8,3542
238,8/26/2011,8,4661
239,8/27/2011,8,1115
240,8/28/2011,8,4334
241,8/29/2011,8,4634
242,8/30/2011,8,5204
243,8/31/2011,8,5058
244,9/1/2011,9,5115
245,9/2/2011,9,4727
246,9/3/2011,9,4484
247,9/4/2011,9,4940
248,9/5/2011,9,3351
249,9/6/2011,9,2710
250,9/7/2011,9,1996
251,9/8/2011,9,1842
252,9/9/2011,9,3544
253,9/10/2011,9,5345
254,9/11/2011,9,5046
255,9/12/2011,9,4713
256,9/13/2011,9,4763
257,9/14/2011,9,4785
258,9/15/2011,9,3659
259,9/16/2011,9,4760
260,9/17/2011,9,4511
261,9/18/2011,9,4274
262,9/19/2011,9,4539
263,9/20/2011,9,3641
264,9/21/2011,9,4352
265,9/22/2011,9,4795
266,9/23/2011,9,2395
267,9/24/2011,9,5423
268,9/25/2011,9,5010
269,9/26/2011,9,4630
270,9/27/2011,9,4120
271,9/28/2011,9,3907
272,9/29/2011,9,4839
273,9/30/2011,9,5202
274,10/1/2011,10,2429
275,10/2/2011,10,2918
276,10/3/2011,10,3570
277,10/4/2011,10,4456
278,10/5/2011,10,4826
279,10/6/2011,10,4765
280,10/7/2011,10,4985
281,10/8/2011,10,5409
282,10/9/2011,10,5511
283,10/10/2011,10,5117
284,10/11/2011,10,4563
285,10/12/2011,10,2416
286,10/13/2011,10,2913
287,10/14/2011,10,3644
288,10/15/2011,10,5217
289,10/16/2011,10,5041
290,10/17/2011,10,4570
291,10/18/2011,10,4748
292,10/19/2011,10,2424
293,10/20/2011,10,4195
294,10/21/2011,10,4304
295,10/22/2011,10,4308
296,10/23/2011,10,4381
297,10/24/2011,10,4187
298,10/25/2011,10,4687
299,10/26/2011,10,3894
300,10/27/2011,10,2659
301,10/28/2011,10,3747
302,10/29/2011,10,627
303,10/30/2011,10,3331
304,10/31/2011,10,3669
305,11/1/2011,11,4068
306,11/2/2011,11,4186
307,11/3/2011,11,3974
308,11/4/2011,11,4046
309,11/5/2011,11,3926
310,11/6/2011,11,3649
311,11/7/2011,11,4035
312,11/8/2011,11,4205
313,11/9/2011,11,4109
314,11/10/2011,11,2933
315,11/11/2011,11,3368
316,11/12/2011,11,4067
317,11/13/2011,11,3717
318,11/14/2011,11,4486
319,11/15/2011,11,4195
320,11/16/2011,11,1817
321,11/17/2011,11,3053
322,11/18/2011,11,3392
323,11/19/2011,11,3663
324,11/20/2011,11,3520
325,11/21/2011,11,2765
326,11/22/2011,11,1607
327,11/23/2011,11,2566
328,11/24/2011,11,1495
329,11/25/2011,11,2792
330,11/26/2011,11,3068
331,11/27/2011,11,3071
332,11/28/2011,11,3867
333,11/29/2011,11,2914
334,11/30/2011,11,3613
335,12/1/2011,12,3727
336,12/2/2011,12,3940
337,12/3/2011,12,3614
338,12/4/2011,12,3485
339,12/5/2011,12,3811
340,12/6/2011,12,2594
341,12/7/2011,12,705
342,12/8/2011,12,3322
343,12/9/2011,12,3620
344,12/10/2011,12,3190
345,12/11/2011,12,2743
346,12/12/2011,12,3310
347,12/13/2011,12,3523
348,12/14/2011,12,3740
349,12/15/2011,12,3709
350,12/16/2011,12,3577
351,12/17/2011,12,2739
352,12/18/2011,12,2431
353,12/19/2011,12,3403
354,12/20/2011,12,3750
355,12/21/2011,12,2660
356,12/22/2011,12,3068
357,12/23/2011,12,2209
358,12/24/2011,12,1011
359,12/25/2011,12,754
360,12/26/2011,12,1317
361,12/27/2011,12,1162
362,12/28/2011,12,2302
363,12/29/2011,12,2423
364,12/30/2011,12,2999
365,12/31/2011,12,2485
